v1	V(n002)	V(n003)	d(V(n003))
0.000000000000000e+000	0.000000e+000	1.200000e+000	0.000000e+000
1.000000000000000e-003	1.000000e-003	1.200000e+000	0.000000e+000
2.000000000000000e-003	2.000000e-003	1.200000e+000	0.000000e+000
3.000000000000000e-003	3.000000e-003	1.200000e+000	0.000000e+000
4.000000000000000e-003	4.000000e-003	1.200000e+000	0.000000e+000
5.000000000000000e-003	5.000000e-003	1.200000e+000	0.000000e+000
6.000000000000000e-003	6.000000e-003	1.200000e+000	0.000000e+000
7.000000000000000e-003	7.000000e-003	1.200000e+000	0.000000e+000
8.000000000000000e-003	8.000000e-003	1.200000e+000	0.000000e+000
9.000000000000001e-003	9.000000e-003	1.200000e+000	0.000000e+000
1.000000000000000e-002	1.000000e-002	1.200000e+000	0.000000e+000
1.100000000000000e-002	1.100000e-002	1.200000e+000	0.000000e+000
1.200000000000000e-002	1.200000e-002	1.200000e+000	0.000000e+000
1.300000000000001e-002	1.300000e-002	1.200000e+000	0.000000e+000
1.400000000000001e-002	1.400000e-002	1.200000e+000	0.000000e+000
1.500000000000001e-002	1.500000e-002	1.200000e+000	0.000000e+000
1.600000000000001e-002	1.600000e-002	1.200000e+000	0.000000e+000
1.700000000000001e-002	1.700000e-002	1.200000e+000	0.000000e+000
1.800000000000001e-002	1.800000e-002	1.200000e+000	0.000000e+000
1.900000000000001e-002	1.900000e-002	1.200000e+000	0.000000e+000
2.000000000000001e-002	2.000000e-002	1.200000e+000	0.000000e+000
2.100000000000001e-002	2.100000e-002	1.200000e+000	0.000000e+000
2.200000000000001e-002	2.200000e-002	1.200000e+000	0.000000e+000
2.300000000000001e-002	2.300000e-002	1.200000e+000	0.000000e+000
2.400000000000001e-002	2.400000e-002	1.200000e+000	0.000000e+000
2.500000000000002e-002	2.500000e-002	1.200000e+000	0.000000e+000
2.600000000000002e-002	2.600000e-002	1.200000e+000	0.000000e+000
2.700000000000002e-002	2.700000e-002	1.200000e+000	0.000000e+000
2.800000000000002e-002	2.800000e-002	1.200000e+000	0.000000e+000
2.900000000000002e-002	2.900000e-002	1.200000e+000	0.000000e+000
3.000000000000002e-002	3.000000e-002	1.200000e+000	0.000000e+000
3.100000000000002e-002	3.100000e-002	1.200000e+000	0.000000e+000
3.200000000000002e-002	3.200000e-002	1.200000e+000	0.000000e+000
3.300000000000002e-002	3.300000e-002	1.200000e+000	0.000000e+000
3.400000000000002e-002	3.400000e-002	1.200000e+000	0.000000e+000
3.500000000000002e-002	3.500000e-002	1.200000e+000	0.000000e+000
3.600000000000003e-002	3.600000e-002	1.200000e+000	0.000000e+000
3.700000000000003e-002	3.700000e-002	1.200000e+000	0.000000e+000
3.800000000000003e-002	3.800000e-002	1.200000e+000	0.000000e+000
3.900000000000003e-002	3.900000e-002	1.200000e+000	0.000000e+000
4.000000000000003e-002	4.000000e-002	1.200000e+000	0.000000e+000
4.100000000000003e-002	4.100000e-002	1.200000e+000	0.000000e+000
4.200000000000003e-002	4.200000e-002	1.200000e+000	0.000000e+000
