vc	V(vout)	d(V(Vout))
1.020000000000001e-01	2.500000e+00	0.000000e+00
1.030000000000001e-01	2.500000e+00	0.000000e+00
1.040000000000001e-01	2.500000e+00	0.000000e+00
1.050000000000001e-01	2.500000e+00	0.000000e+00
1.060000000000001e-01	2.500000e+00	0.000000e+00
1.070000000000001e-01	2.500000e+00	0.000000e+00
1.080000000000001e-01	2.500000e+00	0.000000e+00
1.090000000000001e-01	2.500000e+00	0.000000e+00
1.100000000000001e-01	2.500000e+00	0.000000e+00
1.110000000000001e-01	2.500000e+00	0.000000e+00
1.120000000000001e-01	2.500000e+00	0.000000e+00
1.130000000000001e-01	2.500000e+00	0.000000e+00
1.140000000000001e-01	2.500000e+00	0.000000e+00
1.150000000000001e-01	2.500000e+00	0.000000e+00
1.160000000000001e-01	2.500000e+00	0.000000e+00
1.170000000000001e-01	2.500000e+00	0.000000e+00
1.180000000000001e-01	2.500000e+00	0.000000e+00
1.190000000000001e-01	2.500000e+00	0.000000e+00
1.200000000000001e-01	2.500000e+00	0.000000e+00
1.210000000000001e-01	2.500000e+00	0.000000e+00
1.220000000000001e-01	2.500000e+00	0.000000e+00
1.230000000000001e-01	2.500000e+00	0.000000e+00
1.240000000000001e-01	2.500000e+00	0.000000e+00
1.250000000000001e-01	2.500000e+00	0.000000e+00
1.260000000000001e-01	2.500000e+00	0.000000e+00
1.270000000000001e-01	2.500000e+00	0.000000e+00
1.280000000000001e-01	2.500000e+00	0.000000e+00
1.290000000000001e-01	2.500000e+00	0.000000e+00
1.300000000000001e-01	2.500000e+00	0.000000e+00
1.310000000000001e-01	2.500000e+00	0.000000e+00
1.320000000000001e-01	2.500000e+00	0.000000e+00
1.330000000000001e-01	2.500000e+00	0.000000e+00
1.340000000000001e-01	2.500000e+00	0.000000e+00
1.350000000000001e-01	2.500000e+00	0.000000e+00
1.360000000000001e-01	2.500000e+00	0.000000e+00
1.370000000000001e-01	2.500000e+00	0.000000e+00
1.380000000000001e-01	2.500000e+00	0.000000e+00
1.390000000000001e-01	2.500000e+00	0.000000e+00
1.400000000000001e-01	2.500000e+00	0.000000e+00
1.410000000000001e-01	2.500000e+00	0.000000e+00
1.420000000000001e-01	2.500000e+00	0.000000e+00
1.430000000000001e-01	2.500000e+00	0.000000e+00
1.440000000000001e-01	2.500000e+00	0.000000e+00
1.450000000000001e-01	2.500000e+00	0.000000e+00
1.460000000000001e-01	2.500000e+00	0.000000e+00
1.470000000000001e-01	2.500000e+00	0.000000e+00
1.480000000000001e-01	2.500000e+00	0.000000e+00
1.490000000000001e-01	2.500000e+00	0.000000e+00
1.500000000000001e-01	2.500000e+00	0.000000e+00
1.510000000000001e-01	2.500000e+00	0.000000e+00
1.520000000000001e-01	2.500000e+00	0.000000e+00
1.530000000000001e-01	2.500000e+00	0.000000e+00
1.540000000000001e-01	2.500000e+00	0.000000e+00
1.550000000000001e-01	2.500000e+00	0.000000e+00
1.560000000000001e-01	2.500000e+00	0.000000e+00
1.570000000000001e-01	2.500000e+00	0.000000e+00
1.580000000000001e-01	2.500000e+00	0.000000e+00
1.590000000000001e-01	2.500000e+00	0.000000e+00
1.600000000000001e-01	2.500000e+00	0.000000e+00
1.610000000000001e-01	2.500000e+00	0.000000e+00
1.620000000000001e-01	2.500000e+00	0.000000e+00
1.630000000000001e-01	2.500000e+00	0.000000e+00
1.640000000000001e-01	2.500000e+00	0.000000e+00
1.650000000000001e-01	2.500000e+00	0.000000e+00
1.660000000000001e-01	2.500000e+00	0.000000e+00
1.670000000000001e-01	2.500000e+00	0.000000e+00
1.680000000000001e-01	2.500000e+00	0.000000e+00
1.690000000000001e-01	2.500000e+00	0.000000e+00
1.700000000000001e-01	2.500000e+00	0.000000e+00
1.710000000000001e-01	2.500000e+00	0.000000e+00
1.720000000000001e-01	2.500000e+00	0.000000e+00
1.730000000000001e-01	2.500000e+00	0.000000e+00
1.740000000000001e-01	2.500000e+00	0.000000e+00
1.750000000000001e-01	2.500000e+00	0.000000e+00
1.760000000000001e-01	2.500000e+00	0.000000e+00
1.770000000000001e-01	2.500000e+00	0.000000e+00
1.780000000000001e-01	2.500000e+00	0.000000e+00
1.790000000000001e-01	2.500000e+00	0.000000e+00
1.800000000000001e-01	2.500000e+00	0.000000e+00
1.810000000000001e-01	2.500000e+00	0.000000e+00
1.820000000000001e-01	2.500000e+00	0.000000e+00
1.830000000000001e-01	2.500000e+00	0.000000e+00
1.840000000000001e-01	2.500000e+00	0.000000e+00
1.850000000000001e-01	2.500000e+00	0.000000e+00
1.860000000000001e-01	2.500000e+00	0.000000e+00
1.870000000000001e-01	2.500000e+00	0.000000e+00
1.880000000000001e-01	2.500000e+00	0.000000e+00
1.890000000000001e-01	2.500000e+00	0.000000e+00
1.900000000000001e-01	2.500000e+00	0.000000e+00
1.910000000000001e-01	2.500000e+00	0.000000e+00
1.920000000000001e-01	2.500000e+00	0.000000e+00
1.930000000000001e-01	2.500000e+00	0.000000e+00
1.940000000000001e-01	2.500000e+00	0.000000e+00
1.950000000000001e-01	2.500000e+00	0.000000e+00
1.960000000000001e-01	2.500000e+00	0.000000e+00
1.970000000000001e-01	2.500000e+00	0.000000e+00
1.980000000000001e-01	2.500000e+00	0.000000e+00
1.990000000000001e-01	2.500000e+00	0.000000e+00
2.000000000000001e-01	2.500000e+00	0.000000e+00
2.010000000000002e-01	2.500000e+00	0.000000e+00
2.020000000000002e-01	2.500000e+00	0.000000e+00
2.030000000000002e-01	2.500000e+00	0.000000e+00
2.040000000000002e-01	2.500000e+00	0.000000e+00
2.050000000000002e-01	2.500000e+00	0.000000e+00
2.060000000000002e-01	2.500000e+00	0.000000e+00
2.070000000000002e-01	2.500000e+00	0.000000e+00
2.080000000000002e-01	2.500000e+00	0.000000e+00
2.090000000000002e-01	2.500000e+00	0.000000e+00
2.100000000000002e-01	2.500000e+00	0.000000e+00
2.110000000000002e-01	2.500000e+00	0.000000e+00
2.120000000000002e-01	2.500000e+00	0.000000e+00
2.130000000000002e-01	2.500000e+00	0.000000e+00
2.140000000000002e-01	2.500000e+00	0.000000e+00
